consumer_id,consumer_first,consumer_last,consumer_email,consumer_height,consumer_weight,consumer_age
1,Ava,Rose,roseava18@yahoo.com,157,55.3,28
2,Leon,Park,leo.park@gmail.com,165,70.5,35
3,Emily,Ash,ashmily@outlook.com,168,66.4,18
4,Olivia,Martin,123olimartin@gmail.com,172,71.2,40
5,Owen,Roz,Rowen@microsoft.com,180,78.8,19
6,Sophia,Ruby,sophia.ruby@yahoo.com,158,60.5,21
7,Ethan,Mori,mori.456@gmail.com,169,72.6,42
8,Ray,Diez,ray.diez@microsoft.com,181,80.1,37
9,Dan,Grey,55circles@gmail.com,175,61.2,32
10,Alice,Scarlet,alice.scarlet41@myhunter.cuny.edu,142,41.9,16
11,Mary,Sky,MarySkyyy@gmail.com,168,50.1,24
12,Aaron,Newson,AaronNewson@gmail.com,170,52.4,22
13,Docia,Mani,DM@microsoft.org,173,74.5,26
14,Ahmed,Yoshi,Ahmed@ABC.com,166,66.2,27
15,Rakel,Flora,OneMoreChance@gmail.com,159,53.5,36
16,Carina,Larissa,CarinaLarissa77@gmail.com,184,68.7,25
